Creature,CR,Category,Size,Type,Tag,SC,AL,Caster Level,Caster Type,AC,HP,#,d,adjustment,walk,burrow,climb,fly,swim,Str,Dex,Con,Int,Wis,Cha,MM,PHB,DMG,LMP,HDQ,ROT,POA,Basic,SRD,HDQ,ROT,DDEN1,DDEX1,POA,DDEN2,DDEX2,DDEN3,DDEX3
Hook Horror,3,Monster,Large,Monstrosity,,,N,,,15,75,10,10,20,30,,30,,,18,10,15,6,12,7,189,,,,,,,,,,,,,20,,,,
Hook Horror Spore Servant,3,Monster,Medium,Plant,Myconid,,U,,,15,75,10,10,10,20,,20,,,18,10,15,2,6,1,,,,,,,,,,,,,,,,,62,
Horned Devil,11,Monster,Large,Fiend,Devil,,LE,,,18,178,17,10,55,20,,,60,,22,17,21,12,16,17,74,,,,,,,,279,,,,,,,,,
Howling Hatred Initiate,0.125,NPC,Medium,Humanoid,Human,,NE,,,13,9,2,8,,30,,,,,10,15,10,10,9,11,,,,,,,190,,,,,,,,50,"9:58, 13:32",,
Howling Hatred Priest,2,NPC,Medium,Humanoid,Human,,NE,5,S,15,45,10,8,,30,,,,,12,16,10,14,10,14,,,,,,,190,,,,,,,,,13:32,,
Hunter Shark,2,Creature,Large,Beast,,,U,,,12,45,6,10,12,0,,,,40,18,13,15,1,10,4,330,,,,,,,33,377,,,,,,,,,
Hurricane,2,NPC,Medium,Humanoid,Human,,LE,3,S,14,33,6,8,6,45,,,,,12,16,13,10,12,10,,,,,,,191,,,,,,,,50,"6:36, 9:58, 13:32",,
Hydra,8,Monster,Huge,Monstrosity,,,U,,,15,172,15,12,75,30,,,,30,20,12,20,2,10,7,190,,,,,,,33,326,,,,,,,3:27,,
Hyena,0,Creature,Medium,Beast,,,U,,,11,5,1,8,1,50,,,,,11,13,12,2,12,5,331,,,,,,,33,377,,,,,,,,,
Ice Devil,14,Monster,Large,Fiend,Devil,,LE,,,18,180,19,10,76,40,,,,,21,14,18,18,15,18,75,,,,,,,,280,,,,,,,,,
Ice Mephit,0.5,Monster,Small,Elemental,Mephit,,NE,,,11,21,6,6,,30,,,30,,7,13,10,9,11,12,215,,,,,,,,334,,,,,20,,9:52,,
Ice Toad,1,Monster,Medium,Monstrosity,,,N,,,12,32,5,8,10,30,,,,30,13,10,14,8,10,6,,,,,,90,,,,,,,,,,,,
Imix,19,Monster,Huge,Elemental,,,NE,,,17,325,26,12,156,50,,,50,,19,24,22,15,16,23,,,,,,,214,,,,,,,,,,,
Imp,1,Monster,Tiny,Fiend,Devil,1,LE,,,13,10,3,4,3,20,,,40,,6,17,13,11,12,14,76,306,,,,,,,280,,,,8:26,,,,,
Intellect Devourer,2,Monster,Tiny,Aberration,,,LE,,,12,21,6,4,6,40,,,,,6,14,13,12,11,10,191,,,,,,,,,,,,,,,7:22,,
Invisible Stalker,6,Monster,Medium,Elemental,,,N,,,14,104,16,8,32,50,,,50,,16,19,14,10,15,11,192,,,,,,,,326,,,,,21,,"9:55, 13:35",,
Iron Golem,16,Monster,Large,Construct,Golem,,U,,,20,210,20,10,100,30,,,,,24,9,20,3,11,1,170,,,,,,,,319,,,,,,,,,
Ixitxachitl,0.25,Monster,Small,Aberration,,,CE,,,15,18,4,6,4,0,,,,30,12,16,13,12,13,7,,,,,,,,,,,,,,,,,60,
Ixitxachitl Cleric,0.25,Monster,Small,Aberration,,,CE,5,C,15,18,4,6,4,0,,,,30,12,16,13,12,13,7,,,,,,,,,,,,,,,,,61,
Jackal,0,Creature,Small,Beast,,,U,,,12,3,1,6,,40,,,,,8,15,11,3,12,6,331,,,,,,,33,377,,,,,,,,,1:29
Jackalwere,0.5,Monster,Medium,Humanoid,,1,CE,,,12,18,4,8,,40,,,,,11,15,11,13,11,10,193,,,,,,,,,,,,,21,,,,1:29
Jamna Gleamsilver,1,NPC,Small,Humanoid,Gnome,,N,4,W,15,22,4,6,8,25,,,,,8,17,14,15,10,12,,,,,91,,,,,,,,,,,,,
"Jeralla, Sorcerer",2,NPC,Medium,Humanoid,Dragonborn,,CE,5,S,10,21,5,6,5,30,,,,,14,10,12,11,13,16,,,,,,,,,,,,,9:27,,,,,
Karsev the Drowner,2,NPC,Medium,Humanoid,Half-Elf,,CN,4,C,18,33,6,8,6,30,,,,,14,10,12,10,13,14,,,,,,,,,,,,,,,,12:20,,
Kenku,0.25,Monster,Medium,Humanoid,Kenku,,CN,,,13,13,3,8,,30,,,,,10,16,10,11,10,10,194,,,,,,,,,,,,,21,,"10:28, 13:33",,
Killer Whale,3,Creature,Huge,Beast,,,U,,,12,90,12,12,12,0,,,,60,19,10,13,3,12,7,331,,,,,,,34,378,,,,,,,,,
Knight,3,NPC,Medium,Humanoid,Any,,Any,,,18,52,8,8,16,30,,,,,16,11,14,11,11,15,347,,,,,,,54,395,12,17,,"4:22, 9:30, 14:21",,,9:57,,2:28
Kobold,0.125,Monster,Small,Humanoid,Kobold,,LE,,,12,5,2,6,-2,30,,,,,7,15,9,8,7,8,195,,,,,,,34,326,13,18,,"3:30, 4:22, 5:20, 9:28, 10:35, 11:39, 12:26",,,,,
Kraken,23,Monster,Gargantuan,Monstrosity,Titan,,CE,,,18,472,27,20,189,20,,,60,,30,11,25,22,18,20,197,,,,,,,,327,,,,,,,,,
Kuo-toa,0.25,Monster,Medium,Humanoid,Kuo-toa,,NE,,,13,18,4,8,,30,,,,30,13,10,11,11,10,8,199,,,,,,,,,,,,,22,,,,"8:25, 9:28"
Kuo-toa Archpriest,6,Monster,Medium,Humanoid,Kuo-toa,,NE,10,C,13,97,13,8,39,30,,,,30,16,14,16,13,16,14,200,,,,,,,,,,,,,22,,,,"3:25, 8:26, 9:29"
Kuo-toa Monitor,3,Monster,Medium,Humanoid,Kuo-toa,,NE,,,13,65,10,8,20,30,,,,30,14,10,14,12,14,11,198,,,,,,,,,,,,,23,,,,"3:26, 8:26, 9:29"
Kuo-toa Whip,1,Monster,Medium,Humanoid,Kuo-toa,,NE,2,C,11,65,10,8,20,30,,,,30,14,10,14,12,14,11,200,,,,,,,,,,,,,23,,,,"3:25, 8:25, 9:28"
Lacedon,1,Monster,Medium,Undead,,,CE,,,12,22,5,8,,30,,,,30,13,15,10,7,10,6,,,,,,,,,,,,,,,,"8:18, 12:19",,
Lamia,4,Monster,Large,Monstrosity,,,CE,,,13,97,13,10,26,30,,,,,16,13,15,14,15,16,201,,,,,,,,328,,,,,,,,,
Langdedrosa Cyanwrath,4,NPC,Medium,Humanoid,Half-Dragon,,LE,,,17,57,6,12,18,30,,,,,19,13,16,10,14,12,,,,,91,,,,,,,37,10:32,,,,,
Larva,0,Monster,Medium,Fiend,,,NE,,,9,9,2,8,,20,,,,,9,9,10,6,10,2,,,63,,,,,,,,,,,,,,,
Lemure,0,Monster,Medium,Fiend,Devil,,LE,,,7,13,3,8,,15,,,,,10,5,11,1,11,3,76,,,,,,,,281,,,,3:30,,,,,
Lich,21,Monster,Medium,Undead,,,*E,18,W,17,135,18,8,54,30,,,,,11,16,16,20,14,16,202,,,,,,,,328,,,,,23,,,,
Lich (in lair),22,Monster,Medium,Undead,,,*E,18,W,17,135,18,8,54,30,,,,,11,16,16,20,14,16,202,,,,,,,,,,,,,,,,,
Lion,1,Creature,Large,Beast,,,U,,,12,26,4,10,4,50,,,,,17,15,13,3,12,8,331,307,,,,,,34,378,,,,,,,4:26,,1:14
Little Wing,3,NPC,Medium,Humanoid,Human,,CE,5,L,15,52,8,8,16,30,,,30,,12,16,14,11,14,14,,,,,,,,,,,,,,,,10:29,,
Lizard,0,Creature,Tiny,Beast,,,U,,,10,2,1,4,,20,,20,,,2,11,10,1,8,3,332,,,,,,,34,378,,,,,,,,,
Lizardfolk,0.5,Monster,Medium,Humanoid,Lizardfolk,,N,,,15,22,4,8,4,30,,,,30,15,10,13,7,12,7,204,,,,,,,35,329,13,18,,"6:27, 7:22",,,7:20,,
Lizardfolk King/Queen,4,Monster,Medium,Humanoid,Lizardfolk,,CE,,,15,78,12,8,24,30,,,,30,17,12,15,11,11,15,205,,,,,,,,,,,,"7:23, 12:28",24,,,,
Lizardfolk Shaman,2,Monster,Medium,Humanoid,Lizardfolk,,N,5,D,13,27,5,8,5,30,,,,30,15,10,13,10,15,8,205,,,,,,,,,,,,"7:22, 12:27",24,,,,
Mage,6,NPC,Medium,Humanoid,Any,,Any,9,W,12,40,9,8,,30,,,,,9,14,11,17,12,11,347,,,,,,,55,395,13,18,,"10:34, 11:39/41, 13:27, 14:21",,,,,"4:43, 8:24"
Magma Mephit,0.5,Monster,Small,Elemental,Mephit,,NE,,,11,22,5,6,5,30,,,30,,8,12,12,7,10,10,216,,,,,,,,334,,,,,25,,2:25,,
Magmin,0.5,Monster,Small,Elemental,,,CN,,,14,9,2,6,2,30,,,,,7,15,12,8,11,10,212,,,,,,,,332,,,,,25,,"2:23, 5:26",,
Male Steeder,0.25,Monster,Medium,Beast,Spider,,U,,,12,13,2,8,4,30,,30,,,15,12,14,2,10,3,,,,,,,,,,,,,,,,,62,
Mammoth,6,Creature,Huge,Beast,,,U,,,13,126,11,12,55,40,,,,,24,9,21,3,11,6,332,,,,,,,35,379,,,,,,,,,
Manes,0.125,Monster,Small,Fiend,Demon,,CE,,,9,9,2,6,2,20,,,,,10,9,13,3,8,4,60,,,,,,,,,,,,,,,1:39,,1:36
Manticore,3,Monster,Large,Monstrosity,,,LE,,,14,68,8,10,24,30,,,50,,17,16,17,7,12,8,213,,,,,,,35,332,,,,,,,13:34,,
Marid,11,Monster,Large,Elemental,Genie,,CN,,,17,229,17,10,136,30,,,60,90,22,12,26,18,17,18,146,,,,,,,,,,,,,,,,,
Marilith,16,Monster,Large,Fiend,Demon,,CE,,,18,189,18,10,90,40,,,,,18,20,20,18,16,20,61,,,,,,,,275,,,,,,,,,
Marlos Urnrayle,8,Monster,Medium,Monstrosity,,,NE,,,15,136,16,8,64,30,,,,,17,11,18,12,13,17,,,,,,,199,,,,,,,,,,,
Marlos Urnrayle (in lair),12,Monster,Medium,Monstrosity,,,NE,,,15,136,16,8,64,30,,,,,17,11,18,12,13,17,,,,,,,199,,,,,,,,,,,
Mastiff,0.125,Creature,Medium,Beast,,,U,,,12,5,1,8,1,40,,,,,13,14,12,3,12,7,332,307,,,,,,35,379,,,,,,,"2:22, 10:26",,1:14
Medusa,6,Monster,Medium,Monstrosity,,,LE,,,15,127,17,8,51,30,,,,,10,15,16,12,13,15,214,,,,,,,36,333,,,,,,,4:29,,
Meira Faerenduil (Ghost),8,Monster,Medium,Undead,,,LN,,,16,91,14,8,28,0,,,40,,7,16,16,13,11,17,,,,,,,,,,,,,,,,,,7:35
Merfolk,0.125,Monster,Medium,Humanoid,Merfolk,,N,,,11,11,2,8,2,10,,,,40,10,13,12,11,11,12,218,,,,,,,36,335,,,,,,,,,
Merrow,2,Monster,Large,Monstrosity,,,CE,,,13,45,6,10,12,10,,,,40,18,10,15,8,10,9,219,,,,,,,,335,,18,,,25,,12:22,,
Mezzoloth,5,Monster,Medium,Fiend,Yugoloth,,NE,,,18,75,10,8,30,40,,,,,18,11,16,7,10,11,313,,,,,,,,,,,,,26,,,,4:46
Mimic,2,Monster,Medium,Monstrosity,,1,N,,,12,58,9,8,18,15,,,,,17,12,15,5,13,8,220,,,,,,,,335,,,,,,,,,
Mind Flayer,7,Monster,Medium,Aberration,,,LE,,,15,71,13,8,13,30,,,,,11,12,12,19,17,17,222,,,,,,,,,,,,,,,,,"3:27, 8:28"
Mind Flayer Arcanist,8,Monster,Medium,Aberration,,,LE,10,W,15,71,13,8,13,30,,,,,11,12,12,19,17,17,222,,,,,,,,,,,,,,,,,
Miner,0.125,NPC,Medium,Humanoid,Human,,N,,,12,11,2,8,2,30,,,,,13,12,12,10,10,10,,,,,,,,,,,,,,,,4:28,,
Minotaur,3,Monster,Large,Monstrosity,,,CE,,,14,76,9,10,27,40,,,,,18,11,16,6,16,9,223,,,,,,,36,336,,,,9:28,,,,,
Minotaur Skeleton,2,Monster,Large,Undead,,,LE,,,12,67,9,10,18,40,,,,,18,11,15,6,8,5,273,,,,,,,,349,,,,11:39,,,,,
Miraj Vizann,6,NPC,Medium,Humanoid,Earth Genasi,,NE,11,S,10,82,11,8,33,30,,,,,12,10,17,13,11,18,,,,,,,198,,,,,,,,,,,
Monodrone,0.125,Monster,Medium,Construct,Modron,,LN,,,15,5,1,8,1,30,,,30,,10,13,12,4,10,5,224,,,,,,,,,,,,,,,,,
Mormesk the Wraith,3,Monster,Medium,Undead,,,NE,,,13,45,6,8,18,0,,,60,,6,16,16,12,14,15,,,,59,,,,,,,,,,,,,,
Mud Mephit,0.25,Monster,Small,Elemental,Mephit,,NE,,,11,27,6,6,6,20,,,20,20,8,12,12,9,11,7,216,,,,,,,,,,,,,26,,"7:21, 12:20",,
Mule,0.125,Creature,Medium,Beast,,,U,,,10,11,2,8,2,40,,,,,14,10,13,2,10,5,333,307,,,,,,37,379,,,,,,,,,
Mummy,3,Monster,Medium,Undead,,,LE,,,11,58,9,8,18,20,,,,,16,8,15,6,10,12,228,,,,,,,37,336,,19,,,,,,,
Mummy Lord,15,Monster,Medium,Undead,,,LE,10,C,17,97,13,8,39,20,,,,,18,10,17,11,18,16,229,,,,,,,,337,,19,,,,,,,
Mummy Lord (in lair),16,Monster,Medium,Undead,,,LE,10,C,17,97,13,8,39,20,,,,,18,10,17,11,18,16,229,,,,,,,,,,,,,,,,,
Musanna,2,NPC,Medium,Humanoid,Elf,,NG,5,C,13,27,5,8,5,30,,,,,12,12,12,13,14,13,,,,,,,,,,,,,,,,12:21,,
Myconid Adult,0.5,Monster,Medium,Plant,Myconid,,LN,,,12,22,4,8,4,20,,,,,10,10,12,10,13,7,232,,,,,,,,,,,,,,,,,3:26
Myconid Sovereign,2,Monster,Large,Plant,Myconid,,LN,,,13,60,8,10,16,30,,,,,12,10,14,13,15,10,232,,,,,,,,,,,,,,,,,3:27
Myconid Sprout,0,Monster,Small,Plant,Myconid,,LN,,,10,7,2,6,,10,,,,,8,10,10,8,11,5,230,,,,,,,,,,,,,,,,,
Naergoth Bladelord,11,Monster,Medium,Undead,,,NE,,,18,135,18,8,54,30,,,,,20,12,16,12,14,16,,,,,,90,,,,,,,,,,,,
Nalfeshnee,13,Monster,Large,Fiend,Demon,,CE,,,18,184,16,10,96,20,,,30,,21,10,22,19,12,15,62,,,,,,,,275,,,,,,,,,4:50
Needle Blight,0.25,Monster,Medium,Plant,,,NE,,,12,11,2,8,2,30,,,,,12,12,13,4,8,3,32,,,,,,,,,,,,8:26,,,,,
Neronvain,9,NPC,Medium,Humanoid,Elf,,NE,,,17,117,18,8,36,30,,,,,8,17,15,16,13,18,,,,,,91,,,,,,,,,,,,
Nezznar the Black Spider,2,NPC,Medium,Humanoid,Elf,,NE,,,11,27,6,8,,30,,,,,9,13,10,16,14,13,,,,59,,,,,,,,,,,,,,
Night Hag,5,Monster,Medium,Fiend,Hag,,NE,,,17,112,15,8,45,30,,,,,18,15,16,16,14,16,178,,,,,,,,322,,,,,,,,,
Night Hag (in coven),7,Monster,Medium,Fiend,Hag,,NE,,,17,112,15,8,45,30,,,,,18,15,16,16,14,16,178,,,,,,,,,,,,,,,,,4:48
Nightmare,3,Monster,Large,Fiend,,,NE,,,13,68,8,10,24,60,,,90,,18,15,16,10,13,15,235,,,,,,,,339,,,,,,,4:29,,
Noble,0.125,NPC,Medium,Humanoid,Any,,Any,,,15,9,2,8,,30,,,,,11,12,11,12,14,16,348,,,,,,,,396,13,20,,,26,,"6:34, 10:29",,
Nothic,2,Monster,Medium,Aberration,,,LE,,,15,45,6,8,18,30,,,,,14,16,16,13,10,8,236,,,60,,,,37,,,,,,,,,,
Nycaloth,9,Monster,Large,Fiend,Yugoloth,,NE,,,18,123,13,10,52,40,,,60,,20,11,19,12,10,15,314,,,,,,,,,,,,,27,,,,4:46
Ochre Jelly,2,Monster,Large,Ooze,,,U,,,8,45,6,10,12,10,,10,,,15,6,14,2,6,1,243,,,60,,,,38,341,,,,11:40,,,,,7:32
Octopus,0,Creature,Small,Beast,,,U,,,12,3,1,6,,5,,,,30,4,15,11,3,10,4,333,,,,,,,38,379,,,,,,,,,
Ogre,2,Monster,Large,Giant,,,CE,,,11,59,7,10,21,40,,,,,19,8,16,5,7,7,237,,,60,,,,38,339,14,20,,,,,,,4:49
Ogre Zombie,2,Monster,Large,Undead,,,NE,,,8,85,9,10,36,30,,,,,19,6,18,3,6,5,316,,,,,,,,360,,,,,,,,,
Ogr_moch,20,Monster,Gargantuan,Elemental,,,NE,,,20,526,27,20,243,50,50,,,,26,11,28,11,15,22,,,,,,,216,,,,,,,,,,,
Olhydra,18,Monster,Huge,Elemental,,,NE,,,18,324,24,12,168,50,,,,100,21,22,24,17,18,23,,,,,,,218,,,,,,,,,,,
One-Eyed Shiver,3,NPC,Medium,Humanoid,Human,,CE,5,S,12,49,9,8,9,30,,,,,10,14,12,13,13,17,,,,,,,207,,,,,,,,,,,
Oni,7,Monster,Large,Giant,,,LE,,,16,110,13,10,39,30,,,30,,19,11,16,14,12,15,239,,,,,,,,339,,,,,27,,,,
Orc,0.5,Monster,Medium,Humanoid,Orc,,CE,,,13,15,2,8,6,30,,,,,16,12,16,7,11,10,246,,,61,,,,39,342,14,,,"9:29, 13:28",,,,,
Orc Eye of Gruumsh,2,Monster,Medium,Humanoid,Orc,,CE,3,C,16,45,6,8,18,30,,,,,16,12,16,9,13,12,247,,,,,,,,,,,,,28,,,,
Orc War Chief,4,Monster,Medium,Humanoid,Orc,,CE,,,16,93,11,8,44,30,,,,,18,12,18,11,11,16,246,,,,,,,,,,,,,,,,,
Oreioth,2,NPC,Medium,Humanoid,Human,,CE,6,W,11,39,6,8,12,30,,,,,8,13,14,16,9,11,,,,,,,211,,,,,,,,53,,,
Orog,2,Monster,Medium,Humanoid,Orc,,CE,,,18,42,5,8,20,30,,,,,18,12,18,12,11,12,247,,,,,,,,,,,,"9:29, 13:28",28,,,,
Otyugh,5,Monster,Large,Aberration,,,N,,,14,114,12,10,48,30,,,,,16,11,19,6,13,6,248,,,,,,,,342,14,20,,,,,9:50,,
Owl,0,Creature,Tiny,Beast,,,U,,,11,1,1,4,-1,5,,,60,,3,13,8,2,12,7,333,308,,,,,,39,380,,,,,,,,,
Owlbear,3,Monster,Large,Monstrosity,,,U,,,13,59,7,10,21,40,,,,,20,12,17,3,12,7,249,,,61,,,,39,342,,,,9:29,,,,,
Panther,0.25,Creature,Medium,Beast,,,U,,,12,13,3,8,,50,,40,,,14,15,10,3,14,7,333,308,,,,,,39,380,,,,8:26,,,,,
Pegasus,2,Monster,Large,Celestial,,,CG,,,12,59,7,10,21,60,,,90,,18,15,16,10,15,13,250,,,,,,,40,343,,,,,,,,,
Pentadrone,2,Monster,Large,Construct,Modron,,LN,,,16,32,5,10,5,40,,,,,15,14,12,10,10,13,226,,,,,,,,,,,,,,,,,
Peryton,2,Monster,Medium,Monstrosity,,,CE,,,13,33,6,8,6,20,,,60,,16,12,13,9,12,10,251,,,,,,,,,15,,,13:29,28,,,,
Pharblex Spattergoo,3,Monster,Medium,Humanoid,Bullywug,,CE,6,D,15,59,7,8,28,20,,,,40,15,12,18,11,16,7,,,,,91,,,,,,,,,,,,,
Phase Spider,3,Creature,Large,Monstrosity,Spider,,U,,,13,32,5,10,5,30,,30,,,15,15,12,6,10,6,334,,,,,,,40,380,,,,,,,,,
Piercer,0.5,Monster,Medium,Monstrosity,,,U,,,15,22,3,8,9,5,,5,,,10,13,16,1,7,3,252,,,,,,,,,,,,,28,,,,
Pit Fiend,20,Monster,Large,Fiend,Devil,,LE,,,19,300,24,10,168,30,,,60,,26,14,24,22,18,24,77,,,,,,,,281,,,,,,,,,
Pixie,0.25,Monster,Tiny,Fey,,,NG,,,15,1,1,4,-1,10,,,30,,2,20,8,10,14,15,253,,,,,,,,,,,,8:27,,,,,
Planetar,16,Monster,Large,Celestial,,,LG,,,19,200,16,10,112,40,,,120,,24,20,24,19,22,25,17,,,,,,,,265,,,,,,,,,
Plesiosaurus,2,Monster,Large,Beast,Dinosaur,,U,,,13,68,8,10,24,20,,,,40,18,15,16,2,12,5,80,,,,,,,40,282,,,,,,,,,
Poisonous Snake,0.125,Creature,Tiny,Beast,,,U,,,13,2,1,4,,30,,,,30,2,16,11,1,10,3,334,308,,,,,,40,381,,,,,,,,,
Polar Bear,2,Creature,Large,Beast,,,U,,,12,42,5,10,15,40,,,,30,20,10,16,2,13,7,334,,,,,,,41,381,,21,,,,,9:54,,
Poltergeist,2,Monster,Medium,Undead,,,CE,,,12,22,5,8,,0,,,50,,1,14,11,10,10,11,279,,,,,,,,,,,,,,,,,
Pony,0.125,Creature,Medium,Beast,,,U,,,10,11,2,8,2,40,,,,,15,10,13,2,11,7,335,,,,,,,41,381,,,,,,,,,
Priest,2,NPC,Medium,Humanoid,Any,,Any,5,C,13,27,5,8,5,25,,,,,10,10,12,13,16,13,348,,,,,,,55,396,15,,,10:34,,,,,
Pseudodragon,0.25,Monster,Tiny,Dragon,,,NG,,,13,7,2,4,2,15,,,60,,6,15,13,10,12,10,254,308,,,,,,,343,,21,,,,,,,
Psychic Gray Ooze,0.5,Monster,Medium,Ooze,,,U,,,8,22,3,8,9,10,,10,,,12,6,16,6,6,2,240,,,,,,,,,11,,,5:20,,,,,
Pteranodon,0.25,Monster,Medium,Beast,Dinosaur,,U,,,13,13,3,8,,10,,,60,,12,15,10,2,9,5,80,,,,,,,41,,,,,,,,,,
Purple Worm,15,Monster,Gargantuan,Monstrosity,,,U,,,18,247,15,20,90,50,30,,,,28,7,22,1,8,4,255,,,,,,,,343,,,,,29,,,,
Quadrone,1,Monster,Medium,Construct,Modron,,LN,,,16,22,4,8,4,30,,,30,,12,14,12,10,10,11,226,,,,,,,,,,,,,,,,,
Quaggoth,2,Monster,Medium,Humanoid,Quaggoth,,CN,,,13,45,6,8,18,30,,30,,,17,12,16,6,12,7,256,,,,,,,,,,,,,,,,,3:29
Quaggoth Spore Servant,1,Monster,Medium,Plant,Myconid,,U,,,13,45,6,8,18,20,,20,,,17,12,16,2,6,1,230,,,,,,,,,,,,,,,,,
Quaggoth Thonot,3,Monster,Medium,Humanoid,Quaggoth,,CN,,,13,45,6,8,18,30,,30,,,17,12,16,6,12,7,256,,,,,,,,,,,,,,,,,
Quasit,1,Monster,Tiny,Fiend,Demon,1,CE,,,13,7,3,4,,40,,,,,5,17,10,7,10,10,63,309,,,,,,,276,,,,,,,1:39,,5:25
Quipper,0,Creature,Tiny,Beast,,,U,,,13,1,1,4,-1,0,,,,40,2,16,9,1,7,2,335,,,,,,,41,382,,,,,,,,,
Rakshasa,13,Monster,Medium,Fiend,,,LE,,,16,110,13,8,52,40,,,,,14,17,18,13,16,20,257,,,,,,,,344,,,,,,,,,
Rat,0,Creature,Tiny,Beast,,,U,,,10,1,1,4,-1,20,,,,,2,11,9,2,10,4,335,309,,,,,,41,382,,,,,,,,,
Rath Modar,6,NPC,Medium,Humanoid,Human,,LE,11,W,13,71,11,8,22,30,,,,,11,16,14,18,14,10,,,,,92,91,,,,,,,,,,,,
Raven,0,Creature,Tiny,Beast,,,U,,,12,1,1,4,-1,10,,,50,,2,14,8,2,12,6,335,309,,,,,,42,382,,,,,,,,,
Razerblast,5,NPC,Medium,Humanoid,Human,,CE,,,17,112,15,8,75,30,,,,,16,11,16,9,10,13,,,,,,,201,,,,,,,,,,,
Red Dragon Wyrmling,4,Monster,Medium,Dragon,,,CE,,,17,75,10,8,30,30,,30,60,,19,10,17,12,11,15,98,,,,,,,,291,,,,,,,,,
Red Plume Cavalry Officer,1,NPC,Medium,Humanoid,Human,,Any,,,17,32,5,8,10,30,,,,,15,11,14,11,11,10,,,,,,,,,,,,,,,,,,5:25
Red Plume Patrol,1,NPC,Medium,Humanoid,Human,,LN,,,16,27,5,8,5,30,,,,,13,10,12,10,11,10,,,,,,,,,,,,,,,,,,"2:26, 5:23"
Red Slaad,5,Monster,Large,Aberration,Slaad,,CN,,,14,93,11,10,33,30,,,,,16,12,16,6,6,7,276,,,,,,,,,,,,11:41,,,,,
Redbrand Ruffian,0.5,NPC,Medium,Humanoid,Human,,NE,,,14,16,3,8,3,30,,,,,11,14,12,9,9,11,,,,61,,,,,,,,,,,,,,
Reef Shark,0.5,Creature,Medium,Beast,,,U,,,12,22,4,8,4,0,,,,40,14,13,13,1,10,4,336,309,,,,,,42,382,,,,,,,,,
